AANHITW	Hilton Al Ain
DALFWES	Embassy Suites by Hilton Dallas-Market Center
DALGPHX	Hampton Inn and Suites Dallas/Grapevine
DALGVHW	Homewood Suites by Hilton Dallas-Park Central Area
DALHMHW	Homewood Suites by Hilton Dallas-Frisco, TX
DALHSHX	Hampton Inn & Suites Dallas/Mesquite
DALHTHX	Hampton Inn and Suites Dallas DFW Airport West
DALHWHW	Homewood Suites by Hilton Dallas-DFW Airport N-Grapevine
DALIRHW	Homewood Suites by Hilton Irving/DFW Airport, TX
DALLCHW	Homewood Suites by Hilton Dallas-Irving-Las Colinas
DALLEGI	Hilton Garden Inn Dallas/Lewisville, TX
DALLFES	Embassy Suites by Hilton Dallas-Love Field
DALLODT	DoubleTree by Hilton Dallas - Love Field
DALLSHX	Hampton Inn Dallas/Irving- Las Colinas
DALLWHW	Homewood Suites by Hilton Dallas/Lewisville
DALMAGI	Hilton Garden Inn Dallas Market Center
DALMCHW	Homewood Suites by Hilton Dallas Market Center
DALMKDT	DoubleTree by Hilton Dallas Market Center
DALMYHX	Hampton Inn and Suites McKinney, TX
DALPAGI	Hilton Garden Inn Dallas Downtown
DALPCHF	Hilton Dallas-Park Cities
DALPEHX	Hampton Inn and Suites Plano-East, TX
DALPGHH	Hilton Plano Granite Park
DALPLHX	Hampton Inn Plano/North Dallas
DALPOHW	Homewood Suites by Hilton Dallas-Plano
DALPPHX	Hampton Inn and Suites Dallas Market Center, TX
DALRHDT	DoubleTree by Hilton Dallas/Richardson
DALRIGI	Hilton Garden Inn Dallas/Richardson, TX
DALRKHX	Hampton Inn Dallas-Rockwall, TX
DALRWHF	Hilton Dallas/Rockwall Lakefront
DALSVHX	Hampton Inn and Suites Stephenville, TX
DALTCHW	Homewood Suites by Hilton Plano-Richardson
DALTXES	Embassy Suites by Hilton Dallas-Park Central Area
DALVRHX	Hampton Inn and Suites Dallas-Lewisville/Vista Ridge Mall, T
DALVVDT	DoubleTree by Hilton Dallas Near The Galleria
DALWHHX	Hampton Inn Dallas North @ Walnut Hill
DALWXHX	Hampton Inn and Suites Waxahachie, TX
DANNCHX	Hampton Inn Eden
DANRSHX	Hampton Inn Danville
DARGAHX	Hampton Inn Darien
DAYAPHX	Hampton Inn and Suites Dayton/Airport, OH
DAYBCGI	Hilton Garden Inn Dayton/Beavercreek, OH
DAYDSGI	Hilton Garden Inn Dayton South/Austin Landing, OH
DAYFBHW	Homewood Suites by Hilton Dayton/Fairborn
DAYFNHX	Hampton Inn Dayton/Fairborn
DAYHHHX	Hampton Inn Daytron/Huber Heights
DAYLTDT	DoubleTree by Hilton Dayton Downtown
DAYSHHX	Hampton Inn Dayton/Dayton Mall, OH
DAYSOHW	Homewood Suites by Hilton Dayton South
DAYSSDT	DoubleTree Suites by Hilton Dayton/Miamisburg
DAYVNHX	Hampton Inn and Suites Dayton/Vandalia, OH
DBLVAHX	Hampton Inn Dublin, VA
DBNGAHX	Hampton Inn Dublin, GA
DBQDTGI	Hilton Garden Inn Dubuque Downtown, IA
DBQIAHX	Hampton Inn Dubuque, IA
DBVHIHI	Hilton Imperial Dubrovnik
DCAAEDT	DoubleTree by Hilton Washington DC - Crystal City
DCAAHHF	Hilton Alexandria Mark Center
DCAARGI	Hilton Garden Inn Arlington/Courthouse Plaza, VA
DCAASGI	Hilton Garden Inn Arlington Shirlington
DCACCGI	Hilton Garden Inn Crystal City
DCACHGI	Hilton Garden Inn Washington DC Downtown
DCADGHX	Hampton Inn Dahlgren, VA
DCAFCGI	Hilton Garden Inn Falls Church
DCAFHGI	Hilton Garden Inn Fredericksburg
DCAGBGI	Hilton Garden Inn Washington DC/Greenbelt
DCALPHT	Home2 Suites by Hilton Lexington Park Patuxent River NAS, MD
DCANAHF	Hilton Crystal City at Reagan National Airport
DCANMGI	Hilton Garden Inn Washington, DC/US Capitol
DCAOLGI	Hilton Garden Inn Alexandria/Old Town
DCAOTHF	Hilton Alexandria Old Town
DCARVGI	Hilton Garden Inn Rockville-Gaithersburg
DCASFHW	Homewood Suites Springfield, VA
DCASGGI	Hilton Garden Inn Silver Spring North, MD
DCASHHH	The Capital Hilton
DCASOGI	Hilton Garden Inn Solomons, MD
DCASSDT	DoubleTree by Hilton Washington DC/Silver Spring, MD
DCASVES	Embassy Suites by Hilton Springfield, VA
DCATCGI	Hilton Garden Inn Tysons Corner
DCAVAHF	Hilton Arlington, VA
DCAWBGI	Hilton Garden Inn Woodbridge, VA
DCAWHHH	Washington Hilton
DCUATHX	Hampton Inn and Suites Athens I-65, AL
DCUHHHX	Hampton Inn Decatur
DCUSADT	DoubleTree by Hilton Decatur Riverfront
DDCTYHX	Hampton Inn and Suites Dodge City, KS
DDHDHHF	Hilton Boston-Dedham
DEBFLHX	Hampton Inn Debary/Deltona
DECFOHW	Homewood Suites by Hilton Decatur/Forsyth, IL
DECFRHX	Hampton Inn Decatur/Forsyth
DEEBHHX	Hampton Boca Raton Deerfield Beach
DEEFLES	Embassy Suites by Hilton Deerfield Beach Resort-Boca Raton
DEFILES	Embassy Suites by Hilton Chicago-North Shore-Deerfield
DELDGDI	DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR
DELGUGI	Hilton Garden Inn Gurgaon Baani
DELSKGI	Hilton Garden Inn New Delhi/Saket
DENAHGI	Hilton Garden Inn Denver Airport
DENAPHX	Hampton Inn and Suites Denver/Airport-Gateway Park, CO
DENARES	Embassy Suites by Hilton Denver Stapleton
DENCCHX	Hampton Inn and Suites Denver/Cherry Creek
DENCHDT	The Curtis - A DoubleTree by Hilton
DENCKGI	Hilton Garden Inn Cherry Creek, CO
DENCVHX	Hampton Inn and Suites Denver Downtown Convention Center, CO
DENDCHW	Homewood Suites by Hilton Denver Downtown-Convention Center
DENDDGI	Hilton Garden Inn Denver Downtown, CO
DENDSGI	Hilton Garden Inn Denver South Park Meadows Area
DENDTHX	Hampton Inn & Suites - Denver-Downtown, CO
DENESES	Embassy Suites by Hilton Denver Downtown Convention Center
DENEWDT	DoubleTree by Hilton Denver Tech
DENFMHX	Hampton Inn and Suites Fort Morgan, CO
DENGDHX	Hampton Inn Denver West
DENGWHX	Hampton Inn Denver Airport
DENHLHX	Hampton Inn and Suites Denver/Highlands Ranch, CO
DENHPES	Embassy Suites by Hilton Denver-Southeast
DENHWHW	Homewood Suites by Hilton Denver Tech Center
DENIAES	Embassy Suites by Hilton Denver-International Airport
DENIPHW	Homewood Suites by Hilton Denver-International Airport, CO
DENITDT	DoubleTree by Hilton Denver-Aurora, CO
DENLDHW	Homewood Suites by Hilton Denver West/Lakewood, CO
DENLIHW	Homewood Suites by Hilton Denver-Littleton
DENLKHX	Hampton Inn Denver Southwest/Lakewood
DENLLHT	Home2 Suites by Hilton Denver West - Federal Center, CO
DENLMHX	Hampton Inn Longmont
DENLTHX	Hampton Inn and Suites Denver-Littleton, CO
DENLVHX	Hampton Inn Boulder/Louisville
DENLWHX	Hampton Inn Denver West/Federal Center
DENNSDT	DoubleTree by Hilton Denver North/Boulder
DENPAHX	Hampton Inn and Suites Parker, CO
DENRGHX	Hampton Inn and Suites Denver/South-RidgeGate, CO
DENSNDT	DoubleTree by Hilton Denver-Stapleton North, CO
DENSWGI	Hilton Garden Inn Denver/Highland Ranch
DENTCES	Embassy Suites by Hilton Denver Tech Center
DENTHHX	Hampton Inn Denver North/Thornton
DENTNDT	DoubleTree by Hilton Denver-Thornton
DENTRGI	Hilton Garden Inn Denver Tech Center, CO
DENUSHX	Hampton Inn and Suites Denver Tech Center
DENWMHX	Hampton Inn Denver/Westminister
DERDTDT	DoubleTree by Hilton Deerfield Beach/Boca Raton
DESHIHF	Hilton Sandestin Beach Golf Resort and Spa
DETAHHS	Hilton Suites Auburn Hills
DETDHGI	Hilton Garden Inn Detroit Downtown
DETHSES	Embassy Suites by Hilton Detroit-Metro Airport
DETMAGI	Hilton Garden Inn Detroit Metro Airport
DETNOGI	Hilton Garden Inn Detroit/Novi, MI
DETPHGI	Hilton Garden Inn Plymouth, MI
DETSHGI	Hilton Garden Inn Detroit Southfield
DFIOHHX	Hampton Inn Defiance, OH
DFWAHHF	Hilton DFW Lakes Executive Conference Center
DFWANHH	Hilton Anatole
DFWARGI	Hilton Garden Inn Dallas-Arlington
DFWASHX	Hampton Inn and Suites Dallas/Ft. Worth Airport South, TX
DFWCNDT	DoubleTree by Hilton Dallas-Campbell Centre
DFWDEHX	Hampton Inn and Suites Decatur, TX
DFWDFHT	Home2 Suites by Hilton Dallas-Frisco, TX
DFWDNGI	Hilton Garden Inn Denton
DFWDSGI	Hilton Garden Inn Denison/Sherman/At Texoma Event Center
DFWFRGI	Hilton Garden Inn Frisco
DFWGBGI	Hilton Garden Inn Granbury, TX
DFWGRGI	Hilton Garden Inn DFW North/Grapevine, TX
DFWINDT	DoubleTree by Hilton DFW Airport North
DFWIRGI	Hilton Garden Inn DFW Airport South
DFWLCGI	Hilton Garden Inn Las Colinas
DFWLTHH	Hilton Dallas Lincoln Centre
DFWSHES	Embassy Suites by Hilton DFW South
DFWSLHF	Hilton Dallas/Southlake Town Center
DHAAUDI	DoubleTree by Hilton Dhahran, Saudi Arabia
DHNDOGI	Hilton Garden Inn Dothan, AL
DHNHSHX	Hampton Inn and Suites Dothan, AL
DHNOZHX	Hampton Inn Ozark, AL
DICTNHX	Hampton Inn Dickson
DIYDAGI	Hilton Garden Inn Diyarbakir (Ari), Turkey
DLMHRHI	Hilton Dalaman Sarigerme Resort & Spa
DNBDHGI	Hilton Garden Inn Danbury
DNCHHHX	Hampton Inn Dunn, NC
DNDKWDI	DoubleTree by Hilton Dundee
DNNCDGI	Hilton Garden Inn Dalton, GA
DNNWSHX	Hampton Inn Dalton
DNVILHX	Hampton Inn and Suites Danville, IL
DNVPAHX	Hampton Inn Danville, PA
DOHHDHI	Hilton Doha
DOHOTDI	DoubleTree by Hilton Doha Old Town
DORPRES	Embassy Suites by Hilton Dorado Del Mar Beach
DOUGAHX	Hampton Inn Douglas
DOVDEHX	Hampton Inn Dover
DOVDPHT	Home2 Suites by Hilton Dover, DE
DOVMFHX	Hampton Inn Milford, DE
DROCOHX	Hampton Inn Durango
DROGSHW	Homewood Suites by Hilton Durango, CO
DRSHITW	Hilton Dresden
DRTUVHX	Hampton Inn Uvalde,TX
DRWDDDI	DoubleTree by Hilton Darwin
DRWEDDI	DoubleTree by Hilton Esplanade Darwin, NT
DRWHDHI	Hilton Darwin
DRYKYHX	Hampton Inn Dry Ridge
DSASHHX	Hampton By Hilton Sheffield
DSIESES	Embassy Suites by Hilton Destin - Miramar Beach
DSIHSHX	Hampton Inn and Suites Destin/Sandestin Area, FL
DSINEHX	Hampton Inn and Suites Destin, FL
DSMAKHX	Hampton Inn and Suites Ankeny, Iowa
DSMANHW	Homewood Suites by Hilton Ankeny, IA
DSMAPHX	Hampton Inn Des Moines Airport
DSMDNES	Embassy Suites by Hilton Des Moines Downtown
DSMFDDT	DoubleTree by Hilton Des Moines Airport
DSMUHGI	Hilton Garden Inn Des Moines/Urbandale
DSMWEHX	Hampton Inn Des Moines West
DSMWHGI	Hilton Garden Inn West Des Moines
DSMWSHX	Hampton Inn and Suites Des Moines Downtown, IA
DSTODT	DoubleTree by Hilton Modesto
DTNTXHX	Hampton Inn and Suites Denton
DTTAUHX	Hampton Inn Detroit/Auburn Hills South,MI
DTTBVHX	Hampton inn Detroit/Belleville Airport
DTTCFHX	Hampton Inn and Suites Detroit/Chesterfield Township, MI
DTTCNHX	Hampton Inn and Suites Detroit/Canton, MI
DTTDBDT	DoubleTree by Hilton Dearborn
DTTLFDT	DoubleTree Suites by Hilton Detroit Downtown - Fort Shelby
DTTLIES	Embassy Suites by Hilton Detroit-Livonia-Novi
DTTMHHX	Hampton Inn Detroit/Madison Heights
DTTNAHX	Hampton Inn Detroit/Auburn Hills-North, MI
DTTNIHX	Hampton Inn Detriot/Novi, MI
DTTNVHX	Hampton Inn Detroit/Northville
DTTRMHX	Hampton Inn & Suites Detroit/airport-Romulus,MI
DTTRVHX	Hampton Inn Detroit/Roseville, MI
DTTSFES	Embassy Suites by Hilton Detroit - Southfield
DTTSHHX	Hampton Inn and Suites Detroit/Sterling Height
DTTSTHX	Hampton Inn Detroit/Utica-Shelby Township, MI
DTTTRES	Embassy Suites by Hilton Detroit - North-Troy
DTTTYHW	Homewood Suites by Hilton Detroit-Troy
DTWNVDT	DoubleTree by Hilton Detroit/Novi
DTWSGHX	Hampton Inn Detroit/Southgate, MI
DUAOKHX	Hampton Inn and Suites Durant, OK
DUBAPHI	Hilton Dublin Airport
DUBBUDI	DoubleTree by Hilton Dublin - Burlington Road
DUBDUHN	Hilton Dublin
DUBHCCI	Conrad Dublin
DUBKMHI	Hilton Dublin Kilmainham
DUBTMDI	The Morrison Dublin, a DoubleTree by Hilton Hotel
DUJIDHW	Homewood Suites by Hilton - DuBois, PA
DUJPAHX	Hampton Inn DuBois, PA
DULMNHX	Hampton Inn Duluth
DURHITW	Hilton Durban
DUSHITW	Hilton Dusseldorf
DVKKYHX	Hampton Inn Danville, KY
DVLNJHX	Hampton Inn Denville/Rockaway/Parsippany, NJ
DVNPTHX	Hampton Inn and Suites Davenport, IA
DWDSDHX	Hampton Inn Deadwood
DXBABDI	DoubleTree by Hilton Hotel & Residences Dubai - Al Barsha
DXBAMGI	Hilton Garden Inn Dubai Al Mina, United Arab Emirates
DXBBRHI	Hilton Dubai The Walk
DXBCDCI	Conrad Dubai
DXBDCHI	Hilton Dubai Creek
DXBGIGI	Hilton Garden Inn Dubai Al Muraqabat
DXBJBHI	Hilton Dubai Jumeirah Resort
DXBMEGI	Hilton Garden Inn Dubai Mall, UAE
DXBPDWA	Waldorf Astoria Dubai Palm Jumeirah
DXBTHDI	DoubleTree by Hilton Dubai - Jumeirah Beach
DXRCTHX	Hampton Inn Danbury, CT
DYETNHX	Hampton Inn Dytersburg
DYLPAHX	Hampton Inn Doylestown, PA
EARTSHX	Hampton Inn Kearney, NE
EASPAHX	Hampton Inn Easton
EAUCRHX	Hampton Inn Eau Claire
ECGNCHX	Hampton Inn Elizabeth City
EDIAPHN	Hilton Edinburgh Airport
EDICCDI	DoubleTree by Hilton Edinburgh City Centre, UK
EDIDHHN	Hilton Dunkeld House
EDIDUDI	DoubleTree by Hilton Dunblane Hydro
EDIQCDI	The Queensferry Hotel
EDNCHWA	Waldorf Astoria Edinburgh - The Caledonian
EDNGRHN	Hilton Edinburgh Grosvenor
EDNNCHX	Hampton Inn Edenton
EFFKDHX	Hampton Inn and Suites Effingham, IL
EHTCTHX	Hampton Inn and Suites Hartford/East Hartford, CT
EKHINHX	Hampton Inn Elkhart
EKIEDGI	Hilton Garden Inn Elkhart, IN
EKIMYHX	Hampton Inn and Suites Middlebury, IN
EKNWVHX	Hampton Inn Elkins, WV
EKOEHGI	Hilton Garden Inn Elko
EKYRCHX	Hampton Inn and Suites Radcliff/Fort Knox, KY
ELDARHX	Hampton Inn El Dorado, Ar
ELIKYHX	Hampton Inn Elizabethtown
ELKCYHX	Hampton Inn and Suites Elk City, OK
ELKMDHX	Hampton Inn Elkton
ELMGIGI	Hilton Garden Inn Elmira/Corning
ELMHHHX	Hampton Inn Elmira, NY
ELMMFHX	Hampton Inn and Suites Mansfield, PA
ELMNYHX	Hampton Inn White Plaines/Tarrytown
ELMPPHX	Hampton Inn Corning/Painted Post, NY
ELPDWDT	DoubleTree by Hilton El Paso Downtown/City Center
ELPELGI	Hilton Garden Inn El Paso Airport, TX
ELPGDHX	Hampton Inn & Suites El Paso-East, TX
ELPGIGI	Hilton Garden Inn El Paso/University
ELPGWES	Embassy Suites by Hilton El Paso
ELPHSHX	Hampton Inn and Suites El Paso Airport
ELPHWHW	Homewood Suites by Hilton El Paso-Airport, TX
ELPWEHX	Hampton Inn and Suites El Paso-West, TX
EMABTHI	Hilton at St George's Park, Burton Upon Trent
EMAHNHN	Hilton East Midlands Airport
EMALEHN	Hilton Leicester
EMANOHN	Hilton Nottingham
EMANUDI	DoubleTree by Hilton Nottingham - Gateway
EMVWEHX	Hampton Inn Emporia, VA
ENFLDHX	Hampton Inn Enfield, CT
EOKIAHX	Hampton Inn Keokuk, IA
EPHPAHX	Hampton Inn and Suites Ephrata, PA
ERCGIGI	Hilton Garden Inn Erzincan
ERIASHX	Hampton Inn Ashtabula
ERIGIGI	Hilton Garden Inn Erie, PA
ERIHHHX	Hampton Inn Erie South
ERIHTHT	Home2 Suites by Hilton Erie, PA
ERIHWHW	Homewood Suites by Hilton Erie
ESKGIGI	Hilton Garden Inn Kutahya
ESPBVHX	Hampton Inn and Suites Bartonsville, PA
ETBWBHX	Hampton Inn and Suites West Bend, WI
ETSALHX	Hampton Inn Enterprise, AL
EUGEHHF	Hilton Eugene
EUGHHHX	Hampton Inn Eugene
EUGORGI	Hilton Garden Inn Eugene/Springfield
EVVAPHX	Hampton Inn Evansville/Airport, IN
EVVEVGI	Hilton Garden Inn Evansville, IN
EVVINHX	Hampton Inn Evansville, IN
EVWWYHX	Hampton Inn Evanston, WY
EWBFHHX	Hampton Inn New Bedford/Fairhaven
EWNMSDT	DoubleTree by Hilton New Bern
EWRAHHH	Hilton Newark Airport
EWRBHHF	Hilton East Brunswick
EWRBRGI	Hilton Garden Inn Bridgewater
EWRDADT	DoubleTree by Hilton Somerset
EWRELES	Embassy Suites by Hilton Newark Airport
EWRETHW	Homewood Suites by Hilton Eatontown, NJ
EWREWHW	Homewood Suites by Hilton Edgewater (NYC Area), NJ
EWRHGHF	Hilton Newark-Gateway
EWRHHHF	Hilton Hasbrouck Heights-Meadowlands
EWRLWGI	Hilton Garden Inn Lakewood, NJ
EWRMLHW	Homewood Suites by Hilton Philadelphia/Mt. Laurel
EWRNADT	DoubleTree by Hilton Newark Airport
EWRNBHX	Hampton Inn North Brunswick/New Brunswick, NJ
EWRPHHF	Hilton Parsippany
EWRRCGI	Hilton Garden Inn Edison/Raritan Center
EWRROGI	Hilton Garden Inn Rockaway
EWRRYHT	Home2 Suites by Hilton Rahway, NJ
EWRSCGI	Hilton Garden Inn Secaucus/Meadowlands
EWRSHHH	Hilton Short Hills
EWRSIGI	Hilton Garden Inn New York/Staten Island
EWRSMHF	Hilton Meadowlands
EWRWTDT	DoubleTree by Hilton Jersey City
EXTAPHX	Hampton Inn Exeter Airport
EYPYOHX	Hampton Inn Yopal, Colombia
EYWCMWA	Casa Marina Resort, FL
EYWDTDT	DoubleTree by Hilton Key West-Grand Key Resort
EYWROGI	Hilton Garden Inn Key West/The Keys Collection, FL
EYWRRWA	The Reach Resort, FL
FAEBHGI	Hilton Garden Inn Bentonville
FAIAKHX	Hampton Inn and Suites Fairbanks, AK
FAMMOHX	Hampton Inn Farmington, MO
FAOAPCI	Conrad Algarve
FAOHIHI	Hilton Vilamoura As Cascatas Golf Resort & Spa
FARGIGI	Hilton Garden Inn Fargo
FARGOHX	Hampton Inn and Suites Fargo, ND
FARHTHT	Home2 Suites by Hilton Fargo, ND
FARHWHW	Homewood Suites by Hilton Fargo, ND
FATCAHX	Hampton Inn and Suites Fresno
FATCCDT	DoubleTree by Hilton Fresno Convention Center
FATCLHX	Hampton Inn & Suites Clovis Airport North
FATCSGI	Hilton Garden Inn Clovis, CA
FATCVHW	Homewood Suites Fresno Airport / Clovis, CA
FATHWHW	Homewood Suites by Hilton Fresno, CA
FATMDHX	Hampton Inn and Suites Madera, CA
FATWHHX	Hampton Inn and Suites Fresno-Northwest CA
FAYCCHX	Hampton Inn Fayetteville Cross Creek Mall
FAYDTDT	DoubleTree by Hilton Fayetteville
FAYFBES	Embassy Suites by Hilton Fayetteville/Fort Bragg
FAYHITW	Hilton Sharm El Sheikh Fayrouz Resort
FAYNCHX	Hampton Inn Fayetteville, NC
FAYNHGI	Hilton Garden Inn Fayetteville/Fort Bragg
FAYSDHT	Home2 Suites by Hilton Fayetteville, NC
FAYSLHX	Hampton Inn and Suites Spring Lake, NC
FBGMDHX	Hampton Inn Frostburg
FBGTXHX	Hampton Inn and Suites Fredericksburg, TX
FCAKSGI	Hilton Garden Inn Kalispell, MT
FCAMTHX	Hampton Inn Kalispell
FCLCOHX	Hampton Inn Ft. Collins
FCLHWHW	Homewood Suites By Hilton Fort Collins+++
FCYARHX	Hampton Inn Forrest City
FDRHSHX	Hampton Inn and Suites Frederick/Ft. Detrick, MD
FDRMDHX	Hampton Inn Frederick, MD
FDYEXGI	Hilton Garden Inn Findlay, OH
FDYOHHX	Hampton Inn Findlay
FFCVAHX	Hampton Inn Fairfax City
FFDNJHX	Hampton Inn and Suites Fairfield
FFTKYHX	Hampton Inn Frankfort
FHKNYHX	Hampton Inn Fishkill
FHUAZHX	Hampton Inn Sierra Vista, AZ
FKLKYHX	Hampton Inn Franklin
FKTHWHW	Homewood Suites by Hilton Somerset, NJ
FLCALHX	Hampton Inn Florence/Midtown
FLCHSHX	Hampton Inn and Suites Florence-Downtown, AL
FLGESES	Embassy Suites by Hilton Flagstaff
FLGFHGI	Hilton Garden Inn Flagstaff
FLGSDHX	Hampton Inn Sedona
FLGSSDT	DoubleTree by Hilton Flagstaff
FLGWEHX	Hampton Inn and Suites Flagstaff West
FLLANHX	Hampton Inn Ft. Lauderdale Airport North
FLLAPHX	Hampton Inn and Suites Ft. Lauderdale Airport/Hollywood
FLLARHW	Homewood Ft. Lauderdale Airport/Cruiseport
FLLBMDT	Bahia Mar-Fort Lauderdale-A DoubleTree by Hilton
FLLCCHX	Hampton Inn and Suites Coconut Creek, FL
FLLCICI	CONRAD FORT LAUDERDALE
FLLCYHX	Hampton Inn Ft. Lauderdale/Cypress Creek
FLLDHQQ	The Diplomat Resort & Spa Hollywood
FLLDNHX	Hampton Inn Ft. Lauderdale City Center
FLLFHGI	Hilton Garden Inn Ft. Lauderdale Hollywood Airport
FLLFSHH	Hilton Fort Lauderdale Beach Resort
FLLGRHH	Hilton Fort Lauderdale Marina
FLLHDHX	Hampton Inn Hallandale Beach/Aventura
FLLMMHX	Hampton Inn & Suites Fort Lauderdale/Miramar
FLLPTHX	Hampton Inn Ft. Lauderdale/Plantation
FLLSMDT	DoubleTree by Hilton Sunrise-Sawgrass Mills
FLLSOES	Embassy Suites by Hilton Ft Lauderdale-17Th Street
FLLSWGI	Hilton Garden Inn Ft. Lauderdale SW/Miramar
FLLTAHX	Hampton Inn and Suites Ft. Lauderdale/Tamarac West, FL
FLLTMHX	Hampton Inn Ft. Lauderdale Commercial Blvd.
FLLTSDT	GALLERYone - a DoubleTree Suites by Hilton Hotel
FLLWEHX	Hampton Inn Ft. Lauderdale West
FLOWJHT	Home2 Suites by Hilton Florence, SC
FLRHFHI	Hilton Florence Metropole
FLRNVGI	Hilton Garden Inn Florence Novoli
FLRWPHX	Hampton Inn Fall River/Westport
FLVRBHX	Hampton Inn Vero Beach
FMYAPHX	Hampton Inn Ft. Myers Airport
FMYARHW	Homewood Suites Fort Myers Airport
FMYCCHX	Hampton Inn and Suites Cape Coral, FL
FMYCLHX	Hampton Inn and Suites Ft. Myers-Colonial Road, FL
FMYESES	Embassy Suites by Hilton Fort Myers
FMYETHX	Hampton Inn and Suites Ft. Myers/Estero, FL
FMYHSHX	Hampton Inn and Suites Fort Myers Beach/Sanibel Gateway, FL
FMYHWHW	Homewood Suites Fort Myers
FNLCOHF	Hilton Fort Collins
FNLESES	Embassy Suites by Hilton Loveland Hotel
FNLFCGI	Hilton Garden Inn Ft. Collins, CO
FNLLDHX	Hampton Inn Loveland
FNTGBHX	Hampton Inn Flint/Grand Blanc
FPAALHX	Hampton Inn Ft. Payne, AL
FRAAPGI	Hilton Garden Inn Frankfurt Airport
FRACCHX	Hampton By Hilton Frankfurt Centre Messe
FRAHAHI	Hilton Frankfurt Airport
FRAHITW	Hilton Frankfurt City Centre+++
FRBCBHX	Hampton Inn and Suites Fredericksburg, VA
FRBHSHX	Hampton Inn and Suites Fredericksburg-South, VA
FRBHWHW	Homewood Suites by Hilton Fredericksburg, VA
FRBSFHX	Hampton Inn Stafford & Conference Center
FREOHHX	Hampton Inn Fremont, OH
FRKMAHX	Hampton Inn Franklin/Milford
FRMMNHX	Hampton Inn Fairmont, MN
FSDDWGI	Hilton Garden Inn - Sioux Falls Downtown, SD
FSDHHHX	Hampton Inn Sioux Falls
FSDHWHW	Homewood Suites by Hilton Sioux Falls
FSDMCHT	Home2 Suites by Hilton Sioux Falls/Sanford Medical Ctr
FSDNOHX	Hampton Inn North Sioux City
FSDSFGI	Hilton Garden Inn Sioux Falls South, SD
FSMARHX	Hampton Inn Ft. Smith
FSMCLHX	Hampton Inn Clarksville, AR
FSMPSHW	Homewood Suites by Hilton Ft. Smith, AR
FSMVBHX	Hampton Inn Van Buren, AR
FSTPCHX	Hampton Inn Pecos, TX
FSTTXHX	Hampton Inn Ft.Stockton, TX
FTLFLDT	DoubleTree by Hilton Fort Lee George Washington Bridge
FTPHSHX	Hampton Inn and Suites Ft. Pierce
FTRYLHX	Hampton Inn Front Royal
FTWAAGI	Hilton Garden Inn Fort Worth Alliance Airport, TX
FTWBFHW	Homewood Suites by Hilton Ft. Worth/Bedford
FTWBRHX	Hampton Inn and Suites Ft. Worth/Burleson, TX
FTWCLHX	Hampton Inn and Suites Cleburne, TX
FTWDEHW	Homewood Suites by Hilton Denton, TX
FTWESES	Embassy Suites by Hilton Fort Worth
FTWFCHX	Hampton Inn and Suites Ft. Worth-Fossil Creek, TX
FTWFHHX	Hampton Inn and Suites Fort Worth/Forest Hill, TX
FTWFWHF	Hilton Fort Worth
FTWHSHX	Hampton Inn and Suites Ft. Worth Alliance Airport
FTWHWHW	Homewood Suites by Hilton - Ft. Worth North
FTWMCHW	Homewood Suites by Hilton Fort Worth-Medical Center, TX
FTWMDGI	Hilton Garden Inn Fort Worth/Medical Center, TX
FTWMFHX	Hampton Inn and Suites Mansfield, TX
FTWNHGI	Hilton Garden Inn Fort Worth/Fossil Creek
FTWRRHX	Hampton Inn Ft. Worth Southwest
FTWSOHW	Homewood Suites by Hilton Fort Worth West Cityview, TX
FTWTCHX	Hampton Inn and Suites Trophy Club, TX
FTWWTHX	Hampton Inn and Suites Ft. Worth-West/I-30, TX
FUKHIHI	Hilton Fukuoka Sea Hawk
FWAABHX	Hampton Inn Auburn, IN
FWADPHX	Hampton Inn Ft. Wayne/Dupont Road, IN
FWAFEGI	Hilton Garden Inn Fort Wayne
FWAFHHF	Hilton Ft. Wayne
FWAINHW	Homewood Suites by Hilton Fort Wayne, IN
FWANOHX	Hampton Inn and Suites Ft. Wayne North
FWASWHX	Hampton Inn Ft. Wayne Southwest
FWBHHHX	Hampton Inn Ft. Walton Beach
FYMTNHX	Hampton Inn Fayetteville, TN
FYVARHX	Hampton Inn Fayetteville
FYVDTDT	DoubleTree Club by Hilton Springdale
FYVGIGI	Hilton Garden Inn Fayetteville, AR
FYVSPHX	Hampton Inn and Suites Springdale
FYVSSHX	Hampton Inn Siloam Springs, AR
FYVWDHW	Homewood Suites by Hilton Fayetteville, AR
GADALHX	Hampton Inn Gadsden
GADATHX	Hampton Inn and Suites Gadsden-West/Attala I-59, AL
GAFSCHX	Hampton Inn Gaffney
GAIGHHF	Hilton Washington DC North-Gaithersburg
GAIMDHX	Hampton Inn and Suites Washington, DC North/Gaithersburg, MD
GAINGHW	Homewood Suites by Hilton Gaithersburg/Washington DC North
GALTNHX	Hampton Inn Gallatin
GATDBHN	Hilton Dartford Bridge
GATHITW	Hilton London Gatwick Airport
GATMAHN	Hilton Maidstone
GBGPAHX	Hampton Inn Greensburg
GCKKSHX	Hampton Inn Garden City, KS
GCYPAHX	Hampton Inn and Suites Grove City, PA
GDLEXHX	Hampton Inn Guadalajara/Expo, Mexico
GDLGHHF	Hilton Guadalajara
GDLHAHX	Hampton Inn Guadalajara, Mexico
