AANHITW	Hilton Al Ain
ANCAGGI	Hilton Garden Inn Anchorage
ANCAHHF	Hilton Anchorage
ANCAKHX	Hampton Inn Anchorage
ANCESES	Embassy Suites by Hilton Anchorage
ANCHWHW	Homewood Suites by Hilton Anchorage
ANDGIGI	Hilton Garden Inn Anderson, SC
ANDMDHX	Hampton Inn and Suites Annapolis
ANDNOHX	Hampton Inn Anderson/Alliance Business Park, SC
ANDSCHX	Hampton Inn Anderson, SC
ANKGIGI	Hilton Garden Inn Ankara
ANKHITW	Ankara HiltonSA
ANPDTDT	DoubleTree by Hilton Annapolis
AOOPAHX	Hampton Inn Altoona
APCNHGI	Hilton Garden Inn Napa
APCSCHX	Hampton Inn and Suites Suisun City, CA
APFBOHW	Homewood Suites by Hilton Bonita Springs/Naples-North
APFBSHX	Hampton Inn Bonita Springs/Naples North
APFFLHX	Hampton Inn Naples I-75
APFGSDT	DoubleTree Suites by Hilton Naples
APFNHHF	Hilton Naples
APFTTHX	Hampton Inn Naples/Central
APLHHHX	Hampton Inn Appleton
AQJDTDI	DoubleTree by Hilton Aqaba
ARBGIGI	Hilton Garden Inn Ann Arbor, MI
ARBGRHX	Hampton Inn Ann Arbor North
ARBVWHX	Hampton Inn Ann Arbor South
ARKARHX	Hampton Inn Arkadelphia, AR
ARLAHHF	Hilton Arlington, TX
ARTGIGI	Hilton Garden Inn Watertown/Thousand Islands
ARTNYHX	Hampton Inn Watertown, NY
ARXNPHX	Hampton Inn Neptune/Wall, NJ
ASBNCHX	Hampton Inn Asheboro
ASHNHHX	Hampton Inn Nashua, NH
ASPDADI	DoubleTree by Hilton Alice Springs
ASRHIHI	Hilton Kayseri
ASTORHX	Hampton Inn and Suites Astoria, OR
ATHHITW	Athens Hilton
ATHTNHX	Hampton Inn Athens, TN
ATLAAHH	Hilton Atlanta Airport
ATLAHHH	Hilton Atlanta
ATLALGI	Hilton Garden Inn Atlanta North Alpharetta
ATLAMGI	Hilton Garden Inn Atlanta Midtown, GA
ATLANDT	DoubleTree by Hilton Atlanta-Airport
ATLAPHW	Homewood Suites by Hilton Atlanta/Alpharetta
ATLARES	Embassy Suites by Hilton Atlanta-Alpharetta
ATLATHX	Hampton Atlanta Airport
ATLBHDT	DoubleTree by Hilton Atlanta-Buckhead
ATLBUHX	Hampton Inn Atlanta Buckhead
ATLCAGI	Hilton Garden Inn Cartersville, GA
ATLCLHW	Homewood Suites by Hilton Atlanta-Galleria/Cumberland
ATLCMHX	Hampton Inn Atlanta -Cumberland Mall
ATLCNHX	Hampton Inn Atlanta/Canton, GA
ATLCPHX	Hampton Inn and Suites Atlanta Airport W/Camp Creek Pkwy, GA
ATLCVHX	Hampton Inn Covington, GA
ATLCWDT	DoubleTree Suites by Hilton Atlanta-Galleria
ATLCYHX	Hampton Inn Conyers
ATLDHHX	Hampton Inn Atlanta North Druid Hills
ATLDLGI	Hilton Garden Inn Atlanta West/Lithia Springs, GA
